feature,mae_increase_mean,mae_increase_std
internal_events__promotions,13.281339738260149,15.42957242380693
sales_roll_std_7,1.2806881243190957,1.499890607975562
sales_lag_1,0.7011415568314249,1.2228216038658284
doy_cos_2,0.568511416687565,0.33635989817731293
external_events__edge_hill_freshers_week,-0.0,0.0
internal_events__bingo,-0.0,0.0
temperature_2m_mean_(°c),-0.0,0.0
external_events__ormskirk_festival_summer_bank_holiday,-0.0,0.0
holiday__early_may_bank_holiday,-0.0,0.0
external_events__ormskirk_medieval_festival_coronation_park,-0.0,0.0
holiday__easter_sunday,-0.0,0.0
external_events__ormskirk_gingerbread_festival,-0.0,0.0
external_events__grand_national,-0.0,0.0
internal_events__quiz,-0.0,0.0
wind_speed_10m_max_(km/h),-0.0,0.0
holiday__valentine_s_day,-0.0,0.0
holiday__summer_bank_holiday,-0.0,0.0
holiday__st_patrick_s_day,-0.0,0.0
doy_cos,-0.0,0.0
doy_sin_2,-0.0,0.0
sales_roll_mean_21,-0.0,0.0
sales_roll_mean_7,-0.0,0.0
holiday__easter_monday,-0.0,0.0
holiday__mother_s_day,-0.0,0.0
holiday__new_year_s_day,-0.0,0.0
holiday__new_year_s_eve,-0.0,0.0
holiday__spring_bank_holiday,-0.0,0.0
holiday__st_george_s_day,-0.0,0.0
holiday__father_s_day,-0.0,0.0
holiday__good_friday,-0.0,0.0
holiday__halloween,-0.0,0.0
sales_roll_std_21,-0.0,0.0
sales_roll_mean_14,-0.0,0.0
doy_sin,-0.0,0.0
sales_roll_std_14,-0.2900115473887155,2.4501528081088084
precipitation_sum_(mm),-5.225700935079561,4.560418447978245
sales_lag_7,-8.836946709610697,4.969791976336805
sales_lag_21,-11.285465160745796,7.789707167710794
dow_cos,-11.908681957490113,11.014461596554755
internal_events__football_screening,-13.32503133394943,6.895427318972759
closed,-17.53865853069859,8.487213851232116
internal_events__student_social_night,-18.40670173061593,8.092325694120753
internal_events__karaoke,-20.438493356811886,15.20369190815565
sales_lag_14,-26.68101652125509,10.798672620644044
dow_sin,-48.438922728666135,17.374416476892364
internal_events__dj,-56.734954899801494,11.44110453384458
weekly_total,-119.02750374274449,25.576221219242317
