feature,mae_increase_mean,mae_increase_std
sales_roll_mean_7,22.56731185913085,9.95013249571608
temperature_2m_mean_(°c),22.43573521205357,11.648624074945912
precipitation_sum_(mm),15.787293870108462,13.829751998467072
doy_sin_2,11.719641521998806,5.388591151904646
sales_roll_mean_14,10.2502422605242,4.620055259941812
internal_events__promotions,8.963395581926616,10.81790912973173
doy_cos_2,8.27200810568672,1.8706321934120755
sales_lag_1,5.886115821770256,14.873553355135236
sales_roll_std_21,5.3634893417358285,3.2572551442257636
sales_roll_std_14,4.301634434291282,2.892598437752237
internal_events__bingo,3.335245922633567,4.403158906440281
sales_roll_mean_21,1.6164601462227863,4.311353372546651
sales_lag_21,1.072650282723555,12.654205393770383
wind_speed_10m_max_(km/h),0.32297965458460565,6.136832679892202
internal_events__quiz,0.05543866838726785,0.11876237775869979
holiday__valentine_s_day,-0.0,0.0
holiday__summer_bank_holiday,-0.0,0.0
holiday__st_patrick_s_day,-0.0,0.0
holiday__st_george_s_day,-0.0,0.0
holiday__spring_bank_holiday,-0.0,0.0
holiday__new_year_s_eve,-0.0,0.0
external_events__edge_hill_freshers_week,-0.0,0.0
external_events__ormskirk_festival_summer_bank_holiday,-0.0,0.0
external_events__grand_national,-0.0,0.0
external_events__ormskirk_gingerbread_festival,-0.0,0.0
holiday__early_may_bank_holiday,-0.0,0.0
external_events__ormskirk_medieval_festival_coronation_park,-0.0,0.0
holiday__easter_sunday,-0.0,0.0
holiday__father_s_day,-0.0,0.0
holiday__good_friday,-0.0,0.0
holiday__easter_monday,-0.0,0.0
holiday__halloween,-0.0,0.0
holiday__mother_s_day,-0.0,0.0
holiday__new_year_s_day,-0.0,0.0
internal_events__karaoke,-0.2644072668893074,3.025465785155509
doy_cos,-0.5645146778651793,1.4899293177973503
internal_events__student_social_night,-0.7552176066807448,0.870305077351953
closed,-1.0599059513637115,1.0493543552866398
sales_roll_std_7,-1.8770008904593425,4.407395534477896
doy_sin,-2.1153358186994327,2.7749897891012916
internal_events__dj,-3.230405426025402,1.4248542913643334
sales_lag_14,-5.412275096348367,10.267214716764299
internal_events__football_screening,-12.688156700134291,5.695855349278189
sales_lag_7,-12.785590171813965,11.9941031867978
dow_cos,-20.634126390729634,18.048507667490114
weekly_total,-88.71593151092529,32.22175797621545
dow_sin,-126.68160817282539,24.6064270937401
