dow,value,month
Mon,753.6,1
Tue,1306.0,1
Wed,1249.2,1
Thu,1871.75,1
Fri,1855.25,1
Sat,2259.25,1
Sun,1483.75,1
Mon,911.0,2
Tue,793.75,2
Wed,1340.25,2
Thu,1115.8,2
Fri,1698.5,2
Sat,2792.5,2
Sun,2165.0,2
Mon,569.25,3
Tue,477.5,3
Wed,1028.0,3
Thu,1340.75,3
Fri,1678.0,3
Sat,1763.2,3
Sun,2283.0,3
Mon,798.6,4
Tue,1148.4,4
Wed,2268.25,4
Thu,1420.0,4
Fri,2063.0,4
Sat,2415.75,4
Sun,2010.0,4
Mon,559.75,5
Tue,551.0,5
Wed,1070.4,5
Thu,1679.6,5
Fri,1952.0,5
Sat,2290.5,5
Sun,2170.5,5
Mon,343.5,6
Tue,842.75,6
Wed,408.75,6
Thu,1228.0,6
Fri,1016.25,6
Sat,1932.0,6
Sun,1611.75,6
Mon,665.6,7
Tue,697.0,7
Wed,886.6,7
Thu,1049.5,7
Fri,1260.75,7
Sat,1927.25,7
Sun,1915.25,7
Mon,549.0,8
Tue,407.75,8
Wed,586.5,8
Thu,1081.2,8
Fri,1013.0,8
Sat,1698.4,8
Sun,1078.0,8
Mon,1097.0,9
Tue,622.25,9
Wed,1057.5,9
Thu,1410.0,9
Fri,1826.5,9
Sat,2136.5,9
Sun,2078.4,9
Mon,1126.5,10
Tue,1228.6,10
Wed,2651.0,10
Thu,2469.0,10
Fri,2326.25,10
Sat,2922.5,10
Sun,1976.75,10
Mon,540.5,11
Tue,748.25,11
Wed,1727.25,11
Thu,1380.5,11
Fri,1600.0,11
Sat,2692.6,11
Sun,1680.0,11
Mon,799.5,12
Tue,611.75,12
Wed,1322.5,12
Thu,1579.0,12
Fri,1737.0,12
Sat,2780.5,12
Sun,2136.2,12
